1,NW_005871048.1:169813
2,NW_005871048.1:249672
3,NW_005871048.1:500219
4,NW_005871048.1:500218
5,NW_005871048.1:718090
6,NW_005871048.1:744665
7,NW_005871048.1:848248
8,NW_005871048.1:1389742
9,NW_005871048.1:1510967
10,NW_005871048.1:1607017
11,NW_005871048.1:2002801
12,NW_005871048.1:2490613
13,NW_005871048.1:2577678
14,NW_005871048.1:2589278
15,NW_005871048.1:2659365
16,NW_005871048.1:2718793
17,NW_005871048.1:2719887
18,NW_005871048.1:2791710
19,NW_005871048.1:2811913
20,NW_005871048.1:2811917
21,NW_005871048.1:2832420
22,NW_005871048.1:2844360
23,NW_005871048.1:2932769
24,NW_005871048.1:2932774
25,NW_005871048.1:2932784
26,NW_005871048.1:2953578
27,NW_005871048.1:3037751
28,NW_005871048.1:3037748
29,NW_005871048.1:3203889
30,NW_005871048.1:3207579
31,NW_005871048.1:3207646
32,NW_005871048.1:3685229
33,NW_005871048.1:3889604
34,NW_005871048.1:3901502
35,NW_005871048.1:4200221
36,NW_005871048.1:4200222
37,NW_005871048.1:4273541
38,NW_005871048.1:4288803
39,NW_005871048.1:4288802
40,NW_005871048.1:4299591
41,NW_005871048.1:4299557
42,NW_005871048.1:4321180
43,NW_005871048.1:4412189
44,NW_005871048.1:4412118
45,NW_005871048.1:4412117
46,NW_005871048.1:4416170
47,NW_005871048.1:4453272
48,NW_005871048.1:4548271
49,NW_005871048.1:4601377
50,NW_005871048.1:4667219
51,NW_005871048.1:4667152
52,NW_005871048.1:4954218
53,NW_005871048.1:5060414
54,NW_005871048.1:5060361
55,NW_005871048.1:5132159
56,NW_005871048.1:5168468
57,NW_005871048.1:5189296
58,NW_005871048.1:5289249
59,NW_005871048.1:5302699
60,NW_005871048.1:5302698
61,NW_005871048.1:5378572
62,NW_005871048.1:5490853
63,NW_005871048.1:5597633
64,NW_005871048.1:5771938
65,NW_005871048.1:5958579
66,NW_005871048.1:5958653
67,NW_005871048.1:6085614
68,NW_005871048.1:6249213
69,NW_005871048.1:6249121
70,NW_005871048.1:6258344
71,NW_005871048.1:6258389
72,NW_005871048.1:6258415
73,NW_005871048.1:6287917
74,NW_005871048.1:6384748
75,NW_005871048.1:6548605
76,NW_005871048.1:6704356
77,NW_005871048.1:6711711
78,NW_005871048.1:6904668
79,NW_005871048.1:6904669
80,NW_005871048.1:6920629
81,NW_005871048.1:7132194
82,NW_005871048.1:7132268
83,NW_005871048.1:7224535
84,NW_005871048.1:7312403
85,NW_005871048.1:7312341
86,NW_005871048.1:7312340
87,NW_005871048.1:7356659
88,NW_005871048.1:7407669
89,NW_005871048.1:7548580
90,NW_005871048.1:7651758
91,NW_005871048.1:7827009
92,NW_005871048.1:7941312
93,NW_005871048.1:7959900
94,NW_005871048.1:7959915
95,NW_005871048.1:7960001
96,NW_005871048.1:8170183
97,NW_005871048.1:8340548
98,NW_005871048.1:8340517
99,NW_005871048.1:8443904
100,NW_005871048.1:8443903
101,NW_005871048.1:8502937
102,NW_005871048.1:8655859
103,NW_005871048.1:8709369
104,NW_005871048.1:8709401
105,NW_005871048.1:8874307
106,NW_005871048.1:8952828
107,NW_005871048.1:8952705
108,NW_005871048.1:8952696
109,NW_005871048.1:8978214
110,NW_005871048.1:9272710
111,NW_005871048.1:9281248
112,NW_005871048.1:9366837
113,NW_005871048.1:9540294
114,NW_005871048.1:9694867
115,NW_005871048.1:9694773
116,NW_005871048.1:9749749
117,NW_005871048.1:9898540
118,NW_005871048.1:10006885
119,NW_005871048.1:10078785
120,NW_005871048.1:10472088
121,NW_005871048.1:10645454
122,NW_005871048.1:10719360
123,NW_005871048.1:10719407
124,NW_005871048.1:10819352
125,NW_005871048.1:10834360
126,NW_005871048.1:11014824
127,NW_005871048.1:11048422
128,NW_005871048.1:11094650
129,NW_005871048.1:11362346
130,NW_005871048.1:11418205
131,NW_005871048.1:11651269
132,NW_005871048.1:11651258
133,NW_005871048.1:11651257
134,NW_005871048.1:11651203
135,NW_005871048.1:11723454
136,NW_005871048.1:11727227
137,NW_005871048.1:11771499
138,NW_005871048.1:11824682
139,NW_005871048.1:11829528
140,NW_005871048.1:11891563
141,NW_005871048.1:11928180
142,NW_005871048.1:11928160
143,NW_005871048.1:11954459
144,NW_005871048.1:12248055
145,NW_005871048.1:12316798
146,NW_005871048.1:12360973
147,NW_005871048.1:12360972
148,NW_005871048.1:12368689
149,NW_005871048.1:12410285
150,NW_005871048.1:12410253
151,NW_005871048.1:12455610
152,NW_005871048.1:12641212
153,NW_005871048.1:12690368
154,NW_005871048.1:12865662
155,NW_005871048.1:12865684
156,NW_005871048.1:12865685
157,NW_005871048.1:13189108
158,NW_005871048.1:13237625
